行	candidate_id	geom	centroid_geom	cluster_id	nearest_centroids_distance. CENTROID_ID	nearest_centroids_distance. DISTANCE	log_area_km2	log_perimeter_km	compactness	shape_index	log_neighbor_count_500m	log_neighbor_count_1000m	log_neighbor_count_1500m	log_nearest_neighbor_m	geology_lithology_count	dominant_lithology_share	dominant_lithology_ja	dominant_lithology_en	method	ndvi_threshold_max	slope_threshold_min_deg	confidence
6	adcd22941c269f7d59ed1878a556f865	MULTIPOLYGON(((131.431460830964 32.8259064979374, 131.431730325549 32.8259064979374, 131.431730325549 32.8261759925226, 131.431460830964 32.8261759925226, 131.431460830964 32.8259064979374)), ((131.431460830964 32.8259064979374, 131.430382852623 32.8259064979374, 131.430382852623 32.8256370033522, 131.430113358038 32.8256370033522, 131.430113358038 32.8250980141817, 131.430382852623 32.8250980141817, 131.430382852623 32.8253675087669, 131.430652347208 32.8253675087669, 131.430652347208 32.8256370033522, 131.430921841794 32.8256370033522, 131.430921841794 32.8253675087669, 131.431191336379 32.8253675087669, 131.431191336379 32.8256370033522, 131.431460830964 32.8256370033522, 131.431460830964 32.8259064979374)))	POINT(131.430817036686 32.8256519755353)	1	1	2.0846677750371332	0.0067684654714058809	0.47115496592323769	0.23561575838447582	2.060145212104072	1.9459101490553132	3.1780538303479458	3.713572066704308	5.3859847182366023	1	1.0	デイサイト・流紋岩 溶岩・火砕岩	dacite & rhyolite lava & pyroclastic rocks	slope_ndvi_threshold_v1	0.55	20	screening
					4	3.0029038622236439																
					5	4.220249323288253																
					2	4.9982221110327005																
					3	6.4569881810766931																
7	56be81d9e3210b4fc3f145d8c85c1591	POLYGON((131.439276173934 32.8310268950571, 131.44008465769 32.8310268950571, 131.44008465769 32.8312963896424, 131.439815163105 32.8312963896424, 131.439815163105 32.8315658842276, 131.439276173934 32.8315658842276, 131.439276173934 32.8310268950571))	POINT(131.439626516955 32.831269439858)	4	4	2.3096295358944765	0.0037656683431599759	0.23976125737377713	0.64581153578381845	1.2443630331296969	1.6094379124341003	3.2958368660043291	3.713572066704308	5.2616631985529088	1	1.0	デイサイト・流紋岩 溶岩・火砕岩	dacite & rhyolite lava & pyroclastic rocks	slope_ndvi_threshold_v1	0.55	20	screening
					1	3.5827414303834884																
					5	4.7456332373897645																
					2	6.747543309303258																
					3	6.7992034313966769																
8	34e0a576491b67566c284a2409a0ae08	MULTIPOLYGON(((131.433886282231 32.8321048733978, 131.434425271402 32.8321048733978, 131.434425271402 32.832374367983, 131.433886282231 32.832374367983, 131.433886282231 32.8321048733978)), ((131.433347293061 32.8307574004716, 131.433616787646 32.8307574004716, 131.433616787646 32.8310268950569, 131.434155776816 32.8310268950569, 131.434155776816 32.8307574004716, 131.434425271402 32.8307574004716, 131.434425271402 32.8312963896421, 131.433886282231 32.8312963896421, 131.433886282231 32.8318353788126, 131.433616787646 32.8318353788126, 131.433616787646 32.832374367983, 131.433886282231 32.832374367983, 131.433886282231 32.8326438625683, 131.433616787646 32.8326438625683, 131.433616787646 32.8329133571535, 131.433347293061 32.8329133571535, 131.433347293061 32.832374367983, 131.43280830389 32.832374367983, 131.43280830389 32.8321048733978, 131.432538809305 32.8321048733978, 131.432538809305 32.8315658842273, 131.43280830389 32.8315658842273, 131.43280830389 32.8318353788126, 131.433077798475 32.8318353788126, 131.433077798475 32.8312963896421, 131.433347293061 32.8312963896421, 131.433347293061 32.8307574004716), (131.433347293061 32.8315658842273, 131.433616787646 32.8315658842273, 131.433616787646 32.8312963896421, 131.433347293061 32.8312963896421, 131.433347293061 32.8315658842273)))	POINT(131.433515728571 32.8317904607433)	1	1	2.7160876378778882	0.017947171333729955	0.82116710680129246	0.14039422010120778	2.668857498906	2.3978952727983707	3.1354942159291497	3.58351893845611	5.2252226152861621	1	1.0	デイサイト・流紋岩 溶岩・火砕岩	dacite & rhyolite lava & pyroclastic rocks	slope_ndvi_threshold_v1	0.55	20	screening
